BN	TN	SubNum	group	hand	isTrain	isChanged	seq	cue	digitChangePos	precueTime	windowSize	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	crossTime	IPI1	IPI2	IPI3	IPI4	IPI5	IPI6	IPI7	IPI8	IPI9	IPI10	IPI0	is_trained_seq	is_untrained_seq	is_rand_seq	is_digit_changed
26	2	2	1	2	0	1	14325242135	14325242412	8	0	11	1	4	3	2	5	2	4	2	4	1	2	515	3040	3555	0	0	1	1	4	3	2	5	2	4	2	4	1	2	2	2	2	2	2	2	2	2	2	2	2	520	745	1030	1285	1610	1845	2035	2225	2760	3070	3365	3500.0	2940.0	0	-1	6775	-1	-1	1	0	0	225	285	255	325	235	190	190	535	310	295	515	True	False	False	True
26	3	2	1	2	0	0	14325242135	14325242135	6	0	2	1	4	3	2	5	2	4	2	1	3	5	615	2600	3215	0	0	2	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	620	820	1100	1350	1660	1900	2155	2400	2780	2920	3105	3500.0	2940.0	0	-1	6435	-1	-1	1	0	0	200	280	250	310	240	255	245	380	140	185	615	True	False	False	False
26	4	2	1	2	0	0	41451253425	41451253425	4	0	11	4	1	4	5	1	2	5	3	4	2	5	915	3985	4900	0	0	1	4	1	4	5	1	2	5	3	4	2	5	2	2	2	2	2	2	2	2	2	2	2	920	1145	1375	1660	2445	2700	3000	3460	4005	4325	4735	3500.0	2940.0	0	-1	8120	-1	-1	1	0	0	225	230	285	785	255	300	460	545	320	410	915	False	False	True	False
26	5	2	1	2	0	0	45352131434	45352131434	6	0	3	4	5	3	5	2	1	3	1	4	3	4	1360	4385	5745	1	0	0	4	5	3	5	2	1	3	4	4	3	4	2	2	2	2	2	2	2	2	2	2	2	1365	1605	2145	2670	3050	3340	3675	4115	4965	5355	5580	3500.0	2940.0	0	-1	8965	-1	-1	1	0	0	240	540	525	380	290	335	440	850	390	225	1360	False	False	True	False
26	6	2	1	2	0	0	51423252413	51423252413	8	0	3	5	1	4	2	3	2	5	2	4	1	3	640	2850	3490	0	0	2	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	645	880	1095	1370	1605	1790	2125	2400	2665	2945	3215	3500.0	2940.0	0	-1	6710	-1	-1	1	0	0	235	215	275	235	185	335	275	265	280	270	640	True	False	False	False
26	7	2	1	2	0	0	21454524143	21454524143	6	0	4	2	1	4	5	4	5	2	4	1	4	3	1040	3410	4450	0	0	1	2	1	4	5	4	5	2	4	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1045	1300	1530	2045	2300	2620	3060	3355	3805	4005	4330	3500.0	2940.0	0	-1	7670	-1	-1	1	0	0	255	230	515	255	320	440	295	450	200	325	1040	False	False	True	False
26	8	2	1	2	0	0	34151532324	34151532324	8	0	2	3	4	1	5	1	5	3	2	3	2	4	685	3760	4445	0	0	1	3	4	1	5	1	5	3	2	3	2	4	2	2	2	2	2	2	2	2	2	2	2	690	990	1325	1770	2050	2330	2755	3205	3540	3710	4295	3500.0	2940.0	0	-1	7665	-1	-1	1	0	0	300	335	445	280	280	425	450	335	170	585	685	False	False	True	False
26	9	2	1	2	0	0	25241454124	25241454124	8	0	4	2	5	2	4	1	4	5	4	1	2	4	1145	5365	6510	1	0	0	2	5	2	4	1	4	5	4	2	2	4	2	2	2	2	2	2	2	2	2	2	2	1150	1395	1665	2335	2750	3110	3925	4340	5065	6015	6295	3500.0	2940.0	0	-1	9730	-1	-1	1	0	0	245	270	670	415	360	815	415	725	950	280	1145	False	False	True	False
26	10	2	1	2	0	0	14325242135	14325242135	4	0	2	1	4	3	2	5	2	4	2	1	3	5	640	3435	4075	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	645	960	1205	1505	1820	2005	2255	2945	3720	3815	3935	3500.0	2940.0	0	-1	7295	-1	-1	1	0	0	315	245	300	315	185	250	690	775	95	120	640	True	False	False	False
26	11	2	1	2	0	1	51423252413	51423245341	6	0	2	5	1	4	2	3	2	4	5	3	4	1	635	3910	4545	0	0	1	5	1	4	2	3	2	4	5	3	4	1	2	2	2	2	2	2	2	2	2	2	2	640	920	1210	1505	1785	1995	2615	3230	3670	3990	4320	3500.0	2940.0	0	-1	7765	-1	-1	1	0	0	280	290	295	280	210	620	615	440	320	330	635	True	False	False	True
26	12	2	1	2	0	0	14325242135	14325242135	8	0	3	1	4	3	2	5	2	4	2	1	3	5	580	2830	3410	0	0	2	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	585	815	1105	1330	1655	1930	2205	2460	3000	3095	3260	3500.0	2940.0	0	-1	6630	-1	-1	1	0	0	230	290	225	325	275	275	255	540	95	165	580	True	False	False	False
26	13	2	1	2	0	0	14124241415	14124241415	4	0	4	1	4	1	2	4	2	4	1	4	1	5	565	3380	3945	0	0	1	1	4	1	2	4	2	4	1	4	1	5	2	2	2	2	2	2	2	2	2	2	2	570	835	1100	1370	1895	2110	2455	2980	3225	3500	3800	3500.0	2940.0	0	-1	7165	-1	-1	1	0	0	265	265	270	525	215	345	525	245	275	300	565	False	False	True	False
26	14	2	1	2	0	0	14325242135	14325242135	8	0	2	1	4	3	2	5	2	4	2	1	3	5	1040	3000	4040	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	1045	1305	1610	1865	2300	2550	2845	3060	3510	3725	3895	3500.0	2940.0	0	-1	7260	-1	-1	1	0	0	260	305	255	435	250	295	215	450	215	170	1040	True	False	False	False
26	15	2	1	2	0	0	43425142315	43425142315	4	0	2	4	3	4	2	5	1	4	2	3	1	5	765	4140	4905	0	0	1	4	3	4	2	5	1	4	2	3	1	5	2	2	2	2	2	2	2	2	2	2	2	770	1370	1720	1980	2405	2835	3000	3670	3950	4325	4705	3500.0	2940.0	0	-1	8125	-1	-1	1	0	0	600	350	260	425	430	165	670	280	375	380	765	False	False	True	False
26	16	2	1	2	0	0	51423252413	51423252413	4	0	2	5	1	4	2	3	2	5	2	4	1	3	870	2580	3450	0	0	2	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	875	1200	1400	1690	1915	2140	2440	2665	2925	3155	3285	3500.0	2940.0	0	-1	6670	-1	-1	1	0	0	325	200	290	225	225	300	225	260	230	130	870	True	False	False	False
26	17	2	1	2	0	0	41323124245	41323124245	8	0	11	4	1	3	2	3	1	2	4	2	4	5	1120	3665	4785	0	0	1	4	1	3	2	3	1	2	4	2	4	5	2	2	2	2	2	2	2	2	2	2	2	1125	1345	1870	2120	2440	2900	3135	3500	3970	4215	4565	3500.0	2940.0	0	-1	8005	-1	-1	1	0	0	220	525	250	320	460	235	365	470	245	350	1120	False	False	True	False
26	18	2	1	2	0	1	14325242135	14325251413	6	0	11	1	4	3	2	5	2	5	1	4	1	3	735	4960	5695	0	0	1	1	4	3	2	5	2	5	1	4	1	3	2	2	2	2	2	2	2	2	2	2	2	740	1005	1410	3190	3425	3680	4190	4435	4805	5155	5570	3500.0	2940.0	0	-1	8915	-1	-1	1	0	0	265	405	1780	235	255	510	245	370	350	415	735	True	False	False	True
26	19	2	1	2	0	0	54542534353	54542534353	4	0	4	5	4	5	4	2	5	3	4	3	5	3	1080	4275	5355	0	0	1	5	4	5	4	2	5	3	4	3	5	3	2	2	2	2	2	2	2	2	2	2	2	1085	1390	1665	2305	2865	3220	3685	4085	4480	4935	5275	3500.0	2940.0	0	-1	8575	-1	-1	1	0	0	305	275	640	560	355	465	400	395	455	340	1080	False	False	True	False
26	20	2	1	2	0	1	51423252413	51423252535	8	0	11	5	1	4	2	3	2	5	2	5	3	5	760	3565	4325	0	0	1	5	1	4	2	3	2	5	2	5	3	5	2	2	2	2	2	2	2	2	2	2	2	765	1080	1410	1935	2220	2555	2880	3275	3645	3955	4210	3500.0	2940.0	0	-1	7545	-1	-1	1	0	0	315	330	525	285	335	325	395	370	310	255	760	True	False	False	True
26	21	2	1	2	0	0	31425253135	31425253135	4	0	4	3	1	4	2	5	2	5	3	1	3	5	1685	3335	5020	0	0	1	3	1	4	2	5	2	5	3	1	3	5	2	2	2	2	2	2	2	2	2	2	2	1690	1950	2185	2475	2835	3155	3635	3940	4350	4600	4880	3500.0	2940.0	0	-1	8240	-1	-1	1	0	0	260	235	290	360	320	480	305	410	250	280	1685	False	False	True	False
26	22	2	1	2	0	0	14325242135	14325242135	8	0	4	1	4	3	2	5	2	4	2	1	3	5	560	2885	3445	0	0	2	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	565	815	1070	1390	1700	1985	2260	2550	2875	3080	3315	3500.0	2940.0	0	-1	6665	-1	-1	1	0	0	250	255	320	310	285	275	290	325	205	235	560	True	False	False	False
26	23	2	1	2	0	0	51423252413	51423252413	8	0	4	5	1	4	2	3	2	5	2	4	1	3	520	2375	2895	0	0	3	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	525	780	1015	1540	1830	2030	2295	2445	2580	2675	2780	3500.0	2940.0	0	-1	6115	-1	-1	1	0	0	255	235	525	290	200	265	150	135	95	105	520	True	False	False	False
26	24	2	1	2	0	0	34245343142	34245343142	4	0	3	3	4	2	4	5	3	4	3	1	4	2	1150	4415	5565	0	0	1	3	4	2	4	5	3	4	3	1	4	2	2	2	2	2	2	2	2	2	2	2	2	1155	1350	1620	2175	2755	3345	3685	4225	4885	5030	5440	3500.0	2940.0	0	-1	8785	-1	-1	1	0	0	195	270	555	580	590	340	540	660	145	410	1150	False	False	True	False
26	25	2	1	2	0	0	53512545243	53512545243	4	0	3	5	3	5	1	2	5	4	5	2	4	3	890	3755	4645	0	0	1	5	3	5	1	2	5	4	5	2	4	3	2	2	2	2	2	2	2	2	2	2	2	895	1145	1460	1755	2050	2325	2870	3370	3805	4110	4540	3500.0	2940.0	0	-1	7865	-1	-1	1	0	0	250	315	295	295	275	545	500	435	305	430	890	False	False	True	False
26	26	2	1	2	0	1	51423252413	51425414352	4	0	4	5	1	4	2	5	4	1	4	3	5	2	680	3530	4210	0	0	1	5	1	4	2	5	4	1	4	3	5	2	2	2	2	2	2	2	2	2	2	2	2	685	930	1170	1645	1905	2235	2625	2815	3420	3840	4070	3500.0	2940.0	0	-1	7430	-1	-1	1	0	0	245	240	475	260	330	390	190	605	420	230	680	True	False	False	True
26	27	2	1	2	0	0	52324131451	52324131451	8	0	4	5	2	3	2	4	1	3	1	4	5	1	885	3495	4380	0	0	1	5	2	3	2	4	1	3	1	4	5	1	2	2	2	2	2	2	2	2	2	2	2	890	1175	1475	1935	2255	2685	2865	3350	3560	3975	4265	3500.0	2940.0	0	-1	7600	-1	-1	1	0	0	285	300	460	320	430	180	485	210	415	290	885	False	False	True	False
26	28	2	1	2	0	0	51423252413	51423252413	8	0	3	5	1	4	2	3	2	5	2	4	1	3	680	2255	2935	0	0	3	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	685	880	1135	1395	1655	1865	2155	2370	2545	2670	2805	3500.0	2940.0	0	-1	6155	-1	-1	1	0	0	195	255	260	260	210	290	215	175	125	135	680	True	False	False	False
