BN	TN	SubNum	group	hand	isTrain	isChanged	seq	cue	digitChangePos	precueTime	windowSize	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	crossTime	
6	2	5	0	2	1	0	35421252143	35421252143	4	0	11	3	5	4	2	1	2	5	2	1	4	3	630.000	2420.000	3050.000	0	0	2	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	635.000	850.000	975.000	1235.000	1430.000	1690.000	1940.000	2325.000	2530.000	2720.000	2855.000	3066.000	2861.600	0	-1	6270	-1	-1	1	0	0	
6	3	5	0	2	1	0	13524232514	13524232514	4	0	2	1	3	5	2	4	2	3	2	5	1	4	630.000	1910.000	2540.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	635.000	810.000	1065.000	1260.000	1415.000	1585.000	1730.000	1870.000	2035.000	2225.000	2305.000	3066.000	2861.600	0	-1	5760	-1	-1	1	0	0	
6	4	5	0	2	1	0	35421252143	35421252143	4	0	11	3	5	4	2	1	2	5	2	1	4	3	620.000	2265.000	2885.000	0	0	2	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	625.000	900.000	925.000	1260.000	1450.000	1685.000	1955.000	2165.000	2425.000	2575.000	2680.000	3066.000	2861.600	0	-1	6105	-1	-1	1	0	0	
6	5	5	0	2	1	0	13524232514	13524232514	4	0	4	1	3	5	2	4	2	3	2	5	1	4	570.000	1895.000	2465.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	575.000	720.000	1010.000	1175.000	1335.000	1495.000	1635.000	1785.000	1980.000	2165.000	2275.000	3066.000	2861.600	0	-1	5685	-1	-1	1	0	0	
6	6	5	0	2	1	0	13524232514	13524232514	4	0	3	1	3	5	2	4	2	3	2	5	1	4	500.000	2515.000	3015.000	1	0	0	1	3	5	2	4	2	3	2	1	5	4	2	2	2	2	2	2	2	2	2	2	2	505.000	645.000	920.000	1040.000	1190.000	1340.000	1510.000	1640.000	1835.000	2015.000	2805.000	3066.000	2861.600	0	-1	6235	-1	-1	1	0	0	
6	7	5	0	2	1	0	35421252143	35421252143	4	0	2	3	5	4	2	1	2	5	2	1	4	3	540.000	2375.000	2915.000	0	0	2	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	545.000	795.000	1015.000	1215.000	1435.000	1640.000	1980.000	2240.000	2480.000	2620.000	2730.000	3066.000	2861.600	0	-1	6135	-1	-1	1	0	0	
6	8	5	0	2	1	0	13524232514	13524232514	4	0	11	1	3	5	2	4	2	3	2	5	1	4	550.000	1890.000	2440.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	555.000	700.000	965.000	1150.000	1305.000	1450.000	1625.000	1755.000	1950.000	2145.000	2240.000	3066.000	2861.600	0	-1	5660	-1	-1	1	0	0	
6	9	5	0	2	1	0	13524232514	13524232514	4	0	11	1	3	5	2	4	2	3	2	5	1	4	650.000	2020.000	2670.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	655.000	835.000	1080.000	1275.000	1450.000	1610.000	1790.000	1950.000	2150.000	2340.000	2470.000	3066.000	2861.600	0	-1	5890	-1	-1	1	0	0	
6	10	5	0	2	1	0	13524232514	13524232514	4	0	4	1	3	5	2	4	2	3	2	5	1	4	530.000	1945.000	2475.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	535.000	695.000	940.000	1120.000	1290.000	1435.000	1620.000	1705.000	1935.000	2115.000	2255.000	3066.000	2861.600	0	-1	5695	-1	-1	1	0	0	
6	11	5	0	2	1	0	35421252143	35421252143	4	0	2	3	5	4	2	1	2	5	2	1	4	3	550.000	3395.000	3945.000	1	0	0	3	5	2	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	555.000	780.000	1030.000	1815.000	2115.000	2450.000	2865.000	3105.000	3450.000	3625.000	3755.000	3066.000	2861.600	0	-1	7165	-1	-1	1	0	0	
